EpiRR Ordering,EpiRR,Biospecimen Disease,Broad Biospecimen Label,Broad Colour,Intermediate Biospecimen Label,Intermediate Colour,Curated Biospecimen Label
1167,IHECRE00002733.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell CD4 Helper
1168,IHECRE00002381.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell CD4 Helper
1169,IHECRE00002400.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell CD4 Helper
1170,IHECRE00002484.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell CD4 Helper
1171,IHECRE00000644.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell CD4 Helper
1172,IHECRE00000663.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell CD4 Helper
1173,IHECRE00000699.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell CD4 Helper
1174,IHECRE00000716.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell CD4 Helper
1175,IHECRE00000728.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell CD4 Helper
1176,IHECRE00000760.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell CD4 Helper
1177,IHECRE00000825.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell CD4 Helper
1178,IHECRE00000886.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell CD4 Helper
1179,IHECRE00000958.6,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell CD4 Helper
1180,IHECRE00000973.6,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell CD4 Helper
1181,IHECRE00001001.6,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell CD4 Helper
1182,IHECRE00003816.1,Disease,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell CD4 Memory
1183,IHECRE00001052.6,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell CD4 Memory
1184,IHECRE00000978.6,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell CD4 Memory
1185,IHECRE00000281.2,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Double Positve
1186,IHECRE00000344.2,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Double Positve
1187,IHECRE00001317.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Double Positve
1188,IHECRE00001412.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Double Positve
1189,IHECRE00001524.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Double Positve
1190,IHECRE00001531.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Double Positve
1191,IHECRE00001547.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Double Positve
1192,IHECRE00001264.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1193,IHECRE00000351.2,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1194,IHECRE00003805.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1195,IHECRE00000100.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1196,IHECRE00001909.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1197,IHECRE00001910.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1198,IHECRE00001911.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1199,IHECRE00001913.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1200,IHECRE00001914.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1201,IHECRE00001916.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1202,IHECRE00001917.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1203,IHECRE00001919.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1204,IHECRE00001920.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1205,IHECRE00001921.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1206,IHECRE00001923.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1207,IHECRE00001924.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1208,IHECRE00001926.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1209,IHECRE00001927.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1210,IHECRE00001931.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1211,IHECRE00000102.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1212,IHECRE00001361.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1213,IHECRE00001404.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1214,IHECRE00001269.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1215,IHECRE00000954.6,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD4 Helper
1216,IHECRE00001281.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD8 Helper
1217,IHECRE00000017.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD8 Helper
1218,IHECRE00000186.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD8 Helper
1219,IHECRE00001316.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD8 Helper
1220,IHECRE00000061.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD8 Helper
1221,IHECRE00001405.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD8 Helper
1222,IHECRE00000056.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD8 Helper
1223,IHECRE00000010.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD8 Helper
1224,IHECRE00001313.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD8 Helper
1225,IHECRE00000037.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD8 Helper
1226,IHECRE00000967.6,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Memory CD8 Helper
1227,IHECRE00001251.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1228,IHECRE00002710.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1229,IHECRE00002391.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1230,IHECRE00003842.2,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1231,IHECRE00003845.2,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1232,IHECRE00002163.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1233,IHECRE00002180.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1234,IHECRE00002199.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1235,IHECRE00002530.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1236,IHECRE00002688.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1237,IHECRE00002698.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1238,IHECRE00002211.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1239,IHECRE00002263.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1240,IHECRE00002318.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1241,IHECRE00002544.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1242,IHECRE00002700.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1243,IHECRE00002352.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1244,IHECRE00002510.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1245,IHECRE00002646.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1246,IHECRE00000194.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1247,IHECRE00002237.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1248,IHECRE00002311.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1249,IHECRE00002387.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1250,IHECRE00002432.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1251,IHECRE00002673.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1252,IHECRE00002697.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1253,IHECRE00000147.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1254,IHECRE00002182.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1255,IHECRE00002185.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1256,IHECRE00002197.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1257,IHECRE00002201.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1258,IHECRE00002290.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1259,IHECRE00002495.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1260,IHECRE00002502.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1261,IHECRE00002630.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1262,IHECRE00002654.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1263,IHECRE00002716.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1264,IHECRE00003815.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1265,IHECRE00002194.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1266,IHECRE00002226.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1267,IHECRE00002399.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1268,IHECRE00002424.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1269,IHECRE00002488.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1270,IHECRE00002551.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1271,IHECRE00002596.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1272,IHECRE00002615.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1273,IHECRE00002687.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1274,IHECRE00000012.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1275,IHECRE00000080.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1276,IHECRE00000138.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1277,IHECRE00002196.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1278,IHECRE00002344.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1279,IHECRE00002356.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1280,IHECRE00002371.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1281,IHECRE00002392.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1282,IHECRE00002412.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1283,IHECRE00002427.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1284,IHECRE00002437.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1285,IHECRE00002441.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1286,IHECRE00002446.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1287,IHECRE00002473.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1288,IHECRE00002501.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1289,IHECRE00002514.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1290,IHECRE00002531.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1291,IHECRE00002570.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1292,IHECRE00002580.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1293,IHECRE00002619.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1294,IHECRE00002708.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1295,IHECRE00002181.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1296,IHECRE00002207.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1297,IHECRE00002225.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1298,IHECRE00002227.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1299,IHECRE00002236.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1300,IHECRE00002276.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1301,IHECRE00002359.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1302,IHECRE00002366.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1303,IHECRE00002395.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1304,IHECRE00002455.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1305,IHECRE00002463.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1306,IHECRE00002480.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1307,IHECRE00002487.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1308,IHECRE00002532.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1309,IHECRE00002538.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1310,IHECRE00002603.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1311,IHECRE00002626.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1312,IHECRE00002637.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1313,IHECRE00002661.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1314,IHECRE00002675.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1315,IHECRE00002685.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1316,IHECRE00002295.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1317,IHECRE00002601.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1318,IHECRE00002629.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1319,IHECRE00002713.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1320,IHECRE00002162.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1321,IHECRE00002428.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1322,IHECRE00002696.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1323,IHECRE00000984.6,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1324,IHECRE00001912.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1325,IHECRE00001915.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1326,IHECRE00001918.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1327,IHECRE00001922.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1328,IHECRE00003822.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1329,IHECRE00003827.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1330,IHECRE00004725.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1331,IHECRE00000140.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1332,IHECRE00000191.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1333,IHECRE00000288.2,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1334,IHECRE00001406.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1335,IHECRE00002260.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1336,IHECRE00002394.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1337,IHECRE00003832.2,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1338,IHECRE00002682.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1339,IHECRE00002326.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1340,IHECRE00000075.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1341,IHECRE00000106.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1342,IHECRE00002240.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1343,IHECRE00002287.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1344,IHECRE00002472.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1345,IHECRE00002623.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1346,IHECRE00002638.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1347,IHECRE00002648.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1348,IHECRE00002680.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1349,IHECRE00000009.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1350,IHECRE00000160.3,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1351,IHECRE00002158.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1352,IHECRE00002333.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1353,IHECRE00002410.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1354,IHECRE00002440.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1355,IHECRE00002555.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1356,IHECRE00002576.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1357,IHECRE00002671.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1358,IHECRE00002221.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1359,IHECRE00002232.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1360,IHECRE00002298.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1361,IHECRE00002300.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1362,IHECRE00002307.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1363,IHECRE00002319.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1364,IHECRE00002355.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1365,IHECRE00002380.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1366,IHECRE00002385.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1367,IHECRE00002498.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1368,IHECRE00002613.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1369,IHECRE00002627.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1370,IHECRE00002723.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1371,IHECRE00000261.2,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1372,IHECRE00002253.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1373,IHECRE00002297.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1374,IHECRE00002317.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1375,IHECRE00002322.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1376,IHECRE00002513.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1377,IHECRE00002529.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1378,IHECRE00002610.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1379,IHECRE00002643.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1380,IHECRE00002657.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1381,IHECRE00002161.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1382,IHECRE00002190.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1383,IHECRE00002258.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1384,IHECRE00002309.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1385,IHECRE00002354.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1386,IHECRE00002357.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1387,IHECRE00002372.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
1388,IHECRE00002470.1,Healthy/None,T lymphocyte,"182,26,57",T cell,"182,26,57",T-Cell Naive CD4 Helper
